日付,通貨名,始値,高値,安値,終値,平均値
2018/05/29,eth_jpy,58760.00000000,63390.00000000,56000.00000000,61500.00000000,58701.88705949
2018/05/30,eth_jpy,61580.00000000,63990.00000000,60015.00000000,60305.00000000,62007.23187678
2018/05/31,eth_jpy,60125.00000000,63440.00000000,59500.00000000,62500.00000000,61727.55723567
2018/06/01,eth_jpy,62500.00000000,64695.00000000,62200.00000000,63400.00000000,63357.34274335
2018/06/02,eth_jpy,63400.00000000,64990.00000000,62000.00000000,64635.00000000,63729.62173831
2018/06/03,eth_jpy,64800.00000000,68500.00000000,64300.00000000,68100.00000000,66216.20936821
2018/06/04,eth_jpy,68100.00000000,68960.00000000,64105.00000000,64250.00000000,67099.42301044
2018/06/05,eth_jpy,64250.00000000,66290.00000000,63580.00000000,65045.00000000,64887.59131312
2018/06/06,eth_jpy,65055.00000000,67490.00000000,65050.00000000,67250.00000000,66616.68130765
2018/06/07,eth_jpy,67265.00000000,68000.00000000,65500.00000000,66700.00000000,67134.80164399
2018/06/08,eth_jpy,66605.00000000,67095.00000000,65280.00000000,65740.00000000,66249.07543827
2018/06/09,eth_jpy,65720.00000000,67000.00000000,65320.00000000,66330.00000000,66479.92774351
2018/06/10,eth_jpy,66500.00000000,66940.00000000,61365.00000000,62300.00000000,63472.04369775
2018/06/11,eth_jpy,62300.00000000,62870.00000000,56000.00000000,57855.00000000,58719.51678814
2018/06/12,eth_jpy,57620.00000000,60000.00000000,57000.00000000,58505.00000000,58879.36947028
2018/06/13,eth_jpy,58740.00000000,58795.00000000,52570.00000000,52570.00000000,55320.37557626
2018/06/14,eth_jpy,52550.00000000,55000.00000000,51000.00000000,52905.00000000,53333.97293707
2018/06/15,eth_jpy,52910.00000000,58800.00000000,51500.00000000,55800.00000000,56309.44801717
2018/06/16,eth_jpy,55200.00000000,56965.00000000,54010.00000000,54670.00000000,55230.69077012
2018/06/17,eth_jpy,54670.00000000,56300.00000000,54210.00000000,55540.00000000,55618.75148245
2018/06/18,eth_jpy,55355.00000000,55990.00000000,54500.00000000,54980.00000000,55195.71119441
2018/06/19,eth_jpy,55000.00000000,60005.00000000,55000.00000000,58525.00000000,57705.00559108
2018/06/20,eth_jpy,58550.00000000,59800.00000000,57200.00000000,59400.00000000,58295.74103048
2018/06/21,eth_jpy,59400.00000000,60500.00000000,58105.00000000,58390.00000000,59455.90820058
2018/06/22,eth_jpy,58400.00000000,58865.00000000,52000.00000000,53160.00000000,55518.48665756
2018/06/23,eth_jpy,53160.00000000,53530.00000000,50040.00000000,52850.00000000,52060.76386426
2018/06/24,eth_jpy,52800.00000000,53405.00000000,48570.00000000,49150.00000000,50729.78686712
2018/06/25,eth_jpy,49110.00000000,52220.00000000,47500.00000000,51595.00000000,50418.61324555
2018/06/26,eth_jpy,51590.00000000,51870.00000000,48900.00000000,49340.00000000,50166.03083680
2018/06/27,eth_jpy,49560.00000000,49930.00000000,47020.00000000,47400.00000000,48049.72868484
2018/06/28,eth_jpy,47495.00000000,49500.00000000,47495.00000000,48440.00000000,48305.04704461
2018/06/29,eth_jpy,48430.00000000,48700.00000000,45020.00000000,45810.00000000,46437.08858999
2018/06/30,eth_jpy,46000.00000000,50545.00000000,45260.00000000,49455.00000000,48784.54077077
2018/07/01,eth_jpy,49345.00000000,50865.00000000,48555.00000000,49260.00000000,49916.37748119
2018/07/02,eth_jpy,49300.00000000,53195.00000000,49300.00000000,52250.00000000,50716.77676866
2018/07/03,eth_jpy,52255.00000000,54180.00000000,51650.00000000,51980.00000000,52698.86281710
2018/07/04,eth_jpy,52000.00000000,52740.00000000,49505.00000000,52500.00000000,50963.54301773
2018/07/05,eth_jpy,52595.00000000,52865.00000000,51280.00000000,51850.00000000,52151.37784613
2018/07/06,eth_jpy,51950.00000000,52395.00000000,50035.00000000,51600.00000000,51402.65468450
2018/07/07,eth_jpy,51700.00000000,52180.00000000,51100.00000000,51740.00000000,51825.19248759
2018/07/08,eth_jpy,51920.00000000,54090.00000000,51090.00000000,53700.00000000,53197.16017832
2018/07/09,eth_jpy,53580.00000000,54330.00000000,52900.00000000,53400.00000000,53532.61031201
2018/07/10,eth_jpy,53410.00000000,53440.00000000,48550.00000000,49330.00000000,50958.96540675
2018/07/11,eth_jpy,49405.00000000,50005.00000000,47535.00000000,49325.00000000,48593.48502067
2018/07/12,eth_jpy,49320.00000000,50095.00000000,48225.00000000,48675.00000000,49230.50775132
2018/07/13,eth_jpy,48665.00000000,49650.00000000,47300.00000000,49100.00000000,48832.34174245
